Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
959,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2023,Italy
960,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Others
961,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry Only,Interventional,2020,2021,Korea
962,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2020,Brazil
963,Recruiting,No Results Available,Cancer & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Brazil
964,Completed,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2020,2020,Italy
965,Completed,No Results Available,PTSD & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
966,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 3,1001-5k persons,Others Only,Interventional,2020,2021,Russia
967,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry & Others,Interventional,2021,2021,United States of America
968,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2020,2021,Egypt
969,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,India
970,Completed,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,Spain
971,Recruiting,No Results Available,Pneumonia & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Egypt
972,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2023,France
973,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Russia
974,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,301-400 persons,Others Only,Interventional,2020,2020,Others
975,Completed,No Results Available,Pneumonia & Covid-19,Drug,All,"Children, Adults & Older Adults",Phase 3,401-500 persons,Industry Only,Interventional,2020,2020,United States of America
976,Recruiting,No Results Available,Cancer & Covid-19,,All,Children & Adults,,301-400 persons,Others Only,Observational,2020,2022,United States of America
977,Not yet recruiting,No Results Available,Covid-19 Only,Combination Product,All,"Children, Adults & Older Adults",Phase 3,1-100 persons,Others Only,Interventional,2020,2022,Egypt
978,Enrolling by invitation,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,10001-50k persons,Industry & Others,Observational,2020,2022,United States of America
979,Recruiting,No Results Available,Liver Diseases & Covid-19,,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2022,Germany
980,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2021,2021,Others
981,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 3,1001-5k persons,Others Only,Interventional,2021,2022,Others
982,"Active, not recruiting",No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2022,Russia
983,Recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,601-700 persons,Others & NIH,Interventional,2021,2022,United States of America
984,Enrolling by invitation,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2021,2021,United States of America
985,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2030,Norway
986,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Turkey
987,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Italy
988,Not yet recruiting,No Results Available,ARDS & Covid-19,Dietary Supplement,All,Adults & Older Adults,Phase 2,501-600 persons,Others Only,Interventional,2021,2021,Egypt
989,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Industry & Others,Interventional,2020,2022,United States of America
990,Completed,No Results Available,Others,Device,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,France
991,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,Israel
992,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,United States of America
993,Completed,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2020,United States of America
994,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Phase 2 & Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Saudi Arabia
995,Not yet recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2022,France
996,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,101-200 persons,Others Only,Interventional,2021,2022,United States of America
997,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Diagnostic Test,All,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2020,2021,Others
998,Enrolling by invitation,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,301-400 persons,Industry & NIH,Observational,2020,2021,United States of America
999,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2021,2021,Others
1000,Completed,No Results Available,Covid-19 Only,Others,Male,Adults Only,,1-100 persons,Others Only,Observational,2020,2020,Turkey
1001,Recruiting,No Results Available,Cancer & Covid-19,Drug,All,Adults & Older Adults,Phase 2,901-1k persons,Others Only,Interventional,2020,2022,France
1002,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,701-800 persons,Others Only,Observational,2020,2021,United Kingdom
1003,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2022,Others
1004,Recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",,401-500 persons,Others Only,Observational,2020,2022,France
1005,Enrolling by invitation,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2021,2021,United States of America
1006,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2021,Others
1007,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
1008,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,Austria
1009,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2022,Canada
1010,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Russia
1011,Recruiting,No Results Available,Pregnancy & Covid-19,Behavioral,Female,Adults & Older Adults,,201-300 persons,Others Only,Observational,2021,2021,Mexico
1012,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Brazil
1013,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,"Children, Adults & Older Adults",Phase 3,1-100 persons,Others Only,Interventional,2020,2020,China
1014,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,Male,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Belgium
1015,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2022,Others
1016,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults Only,Not Applicable,1001-5k persons,Industry Only,Interventional,2020,2021,Pakistan
1017,Recruiting,No Results Available,Other Acute Diseases & Covid-19,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,South Africa
1018,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 3,1001-5k persons,Others Only,Interventional,2020,2021,United States of America
1019,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,France
1020,Recruiting,No Results Available,ARDS & Covid-19,Device,All,Adults & Older Adults,Not Applicable,301-400 persons,Others Only,Interventional,2021,2021,Others
1021,Recruiting,No Results Available,ARDS & Covid-19,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2022,Sweden
1022,"Active, not recruiting",No Results Available,Others,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Egypt
1023,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,Italy
1024,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2021,France
1025,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Industry Only,Observational,2021,2021,Others
1026,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Others Only,Interventional,2020,2020,United States of America
1027,Enrolling by invitation,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2022,United States of America
1028,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Italy
1029,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,Austria
1030,Recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",Not Applicable,901-1k persons,Others & Industry,Interventional,2020,2022,France
1031,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,United States of America
1032,Completed,No Results Available,ARDS & Covid-19,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,France
1033,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Austria
1034,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Italy
1035,Withdrawn,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,0 persons,Others Only,Interventional,2020,2020,United States of America
1036,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Israel
1037,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2021,Others
1038,Completed,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,1-100 persons,Industry & Others,Observational,2020,2020,Others
1039,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Korea
1040,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,Turkey
1041,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2021,Others
1042,Recruiting,No Results Available,Thrombosis & Covid-19,Drug,All,Adults & Older Adults,Phase 3,201-300 persons,Others Only,Interventional,2020,2021,Italy
1043,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Brazil
1044,Recruiting,No Results Available,Pregnancy & Covid-19,Biological,Female,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2030,Sweden
1045,Enrolling by invitation,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2021,Spain
1046,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Others & Industry,Interventional,2021,2022,United States of America
1047,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Mexico
1048,Terminated,No Results Available,SARS-CoV-2 & Covid-19,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
1049,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Brazil
1050,Terminated,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2020,2020,Canada
1051,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Older Adults Only,Phase 2,1-100 persons,Others & Industry,Interventional,2020,2022,Denmark
1052,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry & U.S. Fed,Interventional,2020,2021,United States of America
1053,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,France
1054,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Egypt
1055,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2021,Italy
1056,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 2,101-200 persons,Others Only,Interventional,2020,2020,Others
1057,Recruiting,No Results Available,Pregnancy & Covid-19,Procedural,All,Adults Only,,101-200 persons,Others Only,Observational,2020,2023,United Kingdom
1058,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2022,Canada
1059,Recruiting,No Results Available,Cancer & Covid-19,Drug,All,Adults & Older Adults,Phase 3,1001-5k persons,Others Only,Interventional,2020,2021,Others
1060,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Others & Industry,Interventional,2020,2021,United States of America
1061,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,Spain
1062,Recruiting,No Results Available,Cardio Diseases & Covid-19,Device,All,Adults & Older Adults,Not Applicable,501-600 persons,Others Only,Interventional,2020,2021,Germany
1063,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,801-900 persons,Others Only,Interventional,2020,2020,Others
1064,Completed,No Results Available,Pregnancy & Covid-19,Others,Female,Adults Only,,101-200 persons,Others Only,Observational,2020,2020,Turkey
1065,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2022,Brazil
1066,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Italy
1067,Completed,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Germany
1068,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Others
1069,Recruiting,No Results Available,Covid-19 Only,Others,All,Children Only,,901-1k persons,Others Only,Observational,2020,2022,United States of America
1070,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,501-600 persons,Others Only,Interventional,2020,2022,Israel
1071,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 3,1001-5k persons,Industry Only,Interventional,2020,2021,Others
1072,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2021,2021,Others
1073,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others & Industry,Observational,2020,2021,United States of America
1074,Not yet recruiting,No Results Available,Pneumonia & Covid-19,Others,All,Older Adults Only,Phase 1 & Phase 2,401-500 persons,Others Only,Interventional,2020,2021,Others
1075,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 3,901-1k persons,Others Only,Interventional,2020,2021,Others
1076,Recruiting,No Results Available,Pneumonia & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Italy
1077,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,France
1078,Recruiting,No Results Available,Covid-19 Only,Drug,All,Older Adults Only,Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2021,Spain
1079,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,301-400 persons,Others Only,Interventional,2020,2020,India
1080,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 3,1-100 persons,Others Only,Interventional,2020,2030,Egypt
1081,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Others
1082,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,NIH Only,Observational,2020,2021,United States of America
1083,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2021,France
1084,Completed,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Others
1085,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,301-400 persons,Others & U.S. Fed,Interventional,2020,2021,United States of America
1086,Not yet recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2021,2023,Italy
1087,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Others Only,Interventional,2020,2022,Germany
1088,Completed,No Results Available,Covid-19 Only,,All,Children & Adults,,1-100 persons,Others Only,Observational,2020,2020,Egypt
1089,Not yet recruiting,No Results Available,ARDS & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Italy
1090,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Colombia
1091,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2022,Others
1092,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
1093,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Egypt
1094,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2021,Canada
1095,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2020,China
1096,Completed,No Results Available,Covid-19 Only,Behavioral,All,Adults Only,,101-200 persons,Others Only,Observational,2020,2020,Turkey
1097,Completed,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Canada
1098,Recruiting,No Results Available,Covid-19 Only,Behavioral,All,Older Adults Only,Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,United States of America
1099,Recruiting,No Results Available,Cancer & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,France
1100,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
1101,Completed,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,501-600 persons,Others Only,Interventional,2020,2020,Egypt
1102,Completed,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 4,201-300 persons,Others Only,Interventional,2020,2021,Germany
1103,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Greece
1104,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Belgium
1105,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 1 & Phase 2,101-200 persons,Others Only,Interventional,2020,2020,Iran
1106,"Active, not recruiting",No Results Available,Pregnancy & Covid-19,Biological,Female,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2021,France
1107,Completed,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,France
1108,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2022,Belgium
1109,Completed,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 3,101-200 persons,Others Only,Interventional,2020,2020,Mexico
1110,Completed,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2021,United States of America
1111,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,United States of America
1112,Not yet recruiting,No Results Available,Others,Others,All,Adults Only,,1-100 persons,Others Only,Observational,2021,2022,United States of America
1113,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Industry & Others,Observational,2020,2021,Germany
1114,"Active, not recruiting",No Results Available,Cardio Diseases & Covid-19,,All,Adults & Older Adults,,50001-100k persons,Others Only,Observational,2020,2021,United States of America
1115,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Israel
1116,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,201-300 persons,Others Only,Interventional,2020,2021,Others
1117,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2021,United Kingdom
1118,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Not Applicable,301-400 persons,Industry Only,Interventional,2020,2020,Spain
1119,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2023,Belgium
1120,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2021,Egypt
1121,Completed,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
1122,"Active, not recruiting",No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,United States of America
1123,Recruiting,No Results Available,ARDS & Covid-19,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2023,France
1124,Recruiting,No Results Available,Covid-19 Only,,Female,Adults Only,,101-200 persons,Others Only,Observational,2020,2020,Turkey
1125,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Others
1126,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Children & Adults,,10001-50k persons,Others Only,Observational,2020,2025,United States of America
1127,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2023,Belgium
1128,Recruiting,No Results Available,Pneumonia & Covid-19,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Italy
1129,Recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,United States of America
1130,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,NIH Only,Observational,2021,2021,United States of America
1131,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,501-600 persons,Others Only,Interventional,2020,2020,Mexico
1132,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Italy
1133,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2022,France
1134,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Germany
1135,Enrolling by invitation,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,10001-50k persons,Others Only,Observational,2020,2020,Switzerland
1136,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Others
1137,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Others
1138,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
1139,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,Germany
1140,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
1141,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,5001-10k persons,Others Only,Observational,2020,2021,United States of America
1142,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others & Industry,Interventional,2020,2020,Others
1143,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2021,2023,Others
1144,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2022,Others
1145,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Brazil
1146,Recruiting,No Results Available,Cancer & Covid-19,,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2022,United Kingdom
1147,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Others
1148,Completed,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2020,2020,Egypt
